time_stamp	track_id	x_state	y_state	v_state	yaw_state	yaw_rate_state
2450000	-1	0.0091491	26.6015	6.4792	0.0347049	0.000633609
2450000	-1	-2.95675	9.8228	6.74924	0.0121907	0.000181514
2460000	-1	nan	nan	nan	nan	nan
2460000	-1	nan	nan	nan	nan	nan
2460000	-1	nan	nan	nan	nan	nan
2460000	-1	nan	nan	nan	nan	nan
2460000	-1	nan	nan	nan	nan	nan
2460000	-1	nan	nan	nan	nan	nan
2460000	-1	-2.90092	9.86158	6.74086	0.0643606	0.00182905
2460000	-1	0.0528943	26.6873	6.4743	0.168686	0.00501951
2460000	-1	-2.90092	9.86158	6.74086	0.0643606	0.00182905
2460000	-1	3.25311	41.295	18.8964	0.024529	0.000215195
2460000	-1	3.25311	41.295	18.8964	0.024529	0.000215195
2470000	-1	nan	nan	nan	nan	nan
2470000	-1	nan	nan	nan	nan	nan
2470000	-1	nan	nan	nan	nan	nan
2470000	-1	nan	nan	nan	nan	nan
2470000	-1	nan	nan	nan	nan	nan
2470000	-1	nan	nan	nan	nan	nan
2470000	-1	-2.82006	9.91755	6.71829	0.158104	0.00658036
2470000	-1	0.121438	26.708	6.43853	0.184714	0.00606683
2470000	-1	-2.82006	9.91755	6.71829	0.158104	0.00658036
2470000	-1	3.35671	41.2873	18.8883	0.0123255	-4.78436e-06
2470000	-1	3.35671	41.2873	18.8883	0.0123255	-4.78436e-06
2480000	-1	nan	nan	nan	nan	nan
2480000	-1	nan	nan	nan	nan	nan
2480000	-1	-2.71055	9.99812	6.674	0.259307	0.0145418
2480000	-1	0.233026	26.7988	6.3896	0.323095	0.0180163
2480000	-1	-2.71055	9.99812	6.674	0.259307	0.0145418
2480000	-1	3.51034	41.3356	18.8731	0.0845662	0.00216775
2480000	-1	3.51034	41.3356	18.8731	0.0845662	0.00216775
2490000	-1	nan	nan	nan	nan	nan
2490000	-1	nan	nan	nan	nan	nan
2490000	-1	-2.58879	10.1162	6.57772	0.355151	0.0267291
2490000	-1	0.346146	26.8664	6.21641	0.345212	0.0239787
2490000	-1	-2.58879	10.1162	6.57772	0.355151	0.0267291
2490000	-1	3.7887	41.5207	18.8464	0.258844	0.011013
2490000	-1	3.7887	41.5207	18.8464	0.258844	0.011013
2500000	20	-2.44782	10.2728	6.41269	0.429626	0.0431039
2500000	21	0.483899	27.0607	5.97153	0.472792	0.056804
2500000	22	-2.44782	10.2728	6.41269	0.429626	0.0431039
2500000	-1	4.08115	41.7493	18.7746	0.343532	0.0194008
2500000	-1	4.08115	41.7493	18.7746	0.343532	0.0194008
2510000	20	-2.30065	10.4578	6.1683	0.482876	0.0640573
2510000	21	0.600295	27.2784	5.58311	0.558132	0.0987429
2510000	22	-2.30065	10.4578	6.1683	0.482876	0.0640573
2510000	-1	4.50838	42.0057	18.6972	0.368287	0.0262052
2510000	-1	4.50838	42.0057	18.6972	0.368287	0.0262052
2520000	20	-2.17567	10.6492	5.81075	0.518765	0.0894083
2520000	21	0.634695	27.4175	4.91655	0.581127	0.13485
2520000	22	-2.17567	10.6492	5.81075	0.518765	0.0894083
2520000	23	5.07424	42.3264	18.6068	0.383998	0.0340413
2520000	24	5.07424	42.3264	18.6068	0.383998	0.0340413
2530000	20	-2.10538	10.8374	5.33931	0.550774	0.120794
2530000	21	0.54012	27.5021	4.05769	0.60708	0.181689
2530000	22	-2.10538	10.8374	5.33931	0.550774	0.120794
2530000	23	5.77313	42.6822	18.5092	0.389744	0.0413642
2530000	24	5.77313	42.6822	18.5092	0.389744	0.0413642
2540000	20	-2.11828	10.9799	4.75428	0.573931	0.151568
2540000	21	0.366981	27.5481	3.2301	0.646789	0.237208
2540000	22	-2.11828	10.9799	4.75428	0.573931	0.151568
2540000	23	6.59789	43.0744	18.4084	0.393012	0.0481576
2540000	24	6.59789	43.0744	18.4084	0.393012	0.0481576
2550000	20	-2.20527	11.1006	4.14605	0.605667	0.185485
2550000	21	0.232717	27.5831	2.6308	0.690786	0.282405
2550000	22	-2.20527	11.1006	4.14605	0.605667	0.185485
2550000	23	7.55184	43.5184	18.3245	0.398748	0.0543543
2550000	24	7.55184	43.5184	18.3245	0.398748	0.0543543
2560000	20	-2.31602	11.1862	3.59519	0.637572	0.212601
2560000	21	0.174393	27.5741	2.20414	0.694652	0.252551
2560000	22	-2.31602	11.1862	3.59519	0.637572	0.212601
2560000	23	8.61547	44.0093	18.2627	0.406551	0.0594945
2560000	24	8.61547	44.0093	18.2627	0.406551	0.0594945
2570000	20	-2.43192	11.2721	3.13843	0.680846	0.240954
2570000	21	0.176784	27.6597	1.97877	0.760485	0.306905
2570000	22	-2.43192	11.2721	3.13843	0.680846	0.240954
2570000	23	9.7442	44.5235	18.2157	0.414721	0.063366
2570000	24	9.7442	44.5235	18.2157	0.414721	0.063366
2580000	20	-2.5376	11.35	2.76865	0.728918	0.264637
2580000	21	0.195785	27.7308	1.78366	0.809553	0.320073
2580000	22	-2.5376	11.35	2.76865	0.728918	0.264637
2580000	23	10.8926	45.0541	18.1816	0.424127	0.0664463
2580000	24	10.8926	45.0541	18.1816	0.424127	0.0664463
2590000	20	-2.63191	11.4388	2.47733	0.78805	0.289578
2590000	21	0.215083	27.8652	1.6557	0.928778	0.404333
2590000	22	-2.63191	11.4388	2.47733	0.78805	0.289578
2590000	23	12.0109	45.5824	18.1585	0.434473	0.0687802
2590000	24	12.0109	45.5824	18.1585	0.434473	0.0687802
2600000	20	-2.7167	11.5241	2.24004	0.850606	0.309075
2600000	21	0.205518	28.0816	1.58245	1.14599	0.55984
2600000	22	-2.7167	11.5241	2.24004	0.850606	0.309075
2600000	23	13.0824	46.097	18.1585	0.444103	0.0687802
2600000	24	13.0824	46.097	18.1585	0.444103	0.0687802
2610000	20	-2.7733	11.612	2.0553	0.910741	0.319158
2610000	21	0.210825	28.1891	1.43103	1.22683	0.550354
2610000	22	-2.7733	11.612	2.0553	0.910741	0.319158
2610000	23	14.0116	46.5658	18.1585	0.45442	0.0687802
2610000	24	14.0116	46.5658	18.1585	0.45442	0.0687802
2610000	-1	3.2296	44.0347	19.0111	-0.00818259	-7.17866e-05
2610000	-1	3.2296	44.0347	19.0111	-0.00818259	-7.17866e-05
2620000	20	-2.70792	11.7907	1.98818	0.97621	0.326625
2620000	21	0.215619	28.3395	1.33124	1.34067	0.564666
2620000	22	-2.70792	11.7907	1.98818	0.97621	0.326624
2620000	23	14.7602	46.9679	18.1585	0.465424	0.0687802
2620000	24	14.7602	46.9679	18.1585	0.465424	0.0687802
2620000	-1	3.32488	44.0728	19.0168	0.038223	0.00076543
2620000	-1	3.32488	44.0728	19.0168	0.038223	0.00076543
2630000	20	-2.67337	11.9546	1.9143	1.0431	0.331184
2630000	21	0.189541	28.4683	1.21141	1.4658	0.58049
2630000	22	-2.67337	11.9546	1.9143	1.0431	0.331184
2630000	23	15.3027	47.2862	18.1585	0.477117	0.0687802
2630000	24	15.3027	47.2862	18.1585	0.477117	0.0687802
2630000	-1	3.48255	44.2759	18.9967	0.351689	0.0103959
2630000	-1	3.48255	44.2759	18.9967	0.351689	0.0103959
2640000	20	-2.67123	12.1063	1.83504	1.11542	0.336197
2640000	21	0.146495	28.5812	1.09515	1.59584	0.592987
2640000	22	-2.67123	12.1063	1.83504	1.11542	0.336197
2640000	-1	3.64685	44.5833	18.9656	0.588965	0.0227428
2640000	-1	3.64685	44.5833	18.9656	0.588965	0.0227428
2650000	20	-2.67564	12.2657	1.76798	1.19312	0.341304
2650000	21	0.106039	28.6492	0.958254	1.70743	0.589092
2650000	22	-2.67564	12.2657	1.76798	1.19312	0.341304
2650000	-1	3.88854	44.8927	18.8864	0.643752	0.0339915
2650000	-1	3.88854	44.8927	18.8864	0.643752	0.0339915
2660000	20	-2.70969	12.3949	1.6887	1.2709	0.344153
2660000	21	0.0548325	28.6653	0.806613	1.8273	0.588701
2660000	22	-2.70969	12.3949	1.6887	1.2709	0.344154
2660000	-1	4.23992	45.3163	18.7543	0.685474	0.0539719
2660000	-1	4.23992	45.3163	18.7543	0.685474	0.0539719
2670000	20	-2.7632	12.5073	1.60726	1.3537	0.347789
2670000	21	0.00726295	28.6604	0.675786	1.95255	0.588488
2670000	22	-2.7632	12.5073	1.60726	1.35371	0.34779
2670000	25	4.70806	45.8698	18.6069	0.723544	0.0795203
2670000	26	4.70806	45.8698	18.6069	0.723544	0.0795203
2680000	20	-2.83636	12.6059	1.52474	1.44508	0.353722
2680000	21	-0.0267657	28.7391	0.641416	2.06313	0.574813
2680000	22	-2.83636	12.6059	1.52474	1.44509	0.353723
2680000	25	5.25686	46.5172	18.4413	0.756202	0.110353
2680000	26	5.25686	46.5172	18.4413	0.756202	0.110353
2690000	20	-2.90274	12.709	1.45473	1.53772	0.358363
2690000	21	-0.0518931	28.8074	0.600254	2.15772	0.552055
2690000	22	-2.90274	12.709	1.45473	1.53772	0.358364
2690000	25	5.74394	47.1525	18.1462	0.791824	0.162662
2690000	26	5.74394	47.1525	18.1462	0.791824	0.162662
2700000	20	-2.98046	12.7929	1.38336	1.63577	0.364133
2700000	21	-0.0714967	28.8225	0.514108	2.26467	0.537299
2700000	22	-2.98046	12.7929	1.38336	1.63577	0.364134
2700000	25	6.23963	47.8325	17.8154	0.833039	0.222647
2700000	26	6.23963	47.8325	17.8154	0.833039	0.222647
2710000	20	-3.05884	12.8689	1.31729	1.73665	0.369977
2710000	21	-0.0812188	28.8842	0.470672	2.33108	0.498704
2710000	22	-3.05884	12.8689	1.31729	1.73665	0.369978
2710000	25	6.72675	48.5691	17.4694	0.884077	0.28668
2710000	26	6.72675	48.5691	17.4694	0.884077	0.28668
2720000	20	-3.13337	12.9339	1.25527	1.83793	0.375355
2720000	21	-0.0900551	28.8615	0.361017	2.46899	0.500926
2720000	22	-3.13337	12.9339	1.25528	1.83793	0.375356
2720000	25	7.2473	49.4368	17.1845	0.944609	0.342962
2720000	26	7.2473	49.4368	17.1845	0.944609	0.342962
2730000	20	-3.20388	13.0095	1.20477	1.93986	0.379989
2730000	21	-0.098532	28.936	0.348626	2.49775	0.443966
2730000	22	-3.20389	13.0095	1.20478	1.93987	0.379991
2730000	25	7.78144	50.3892	16.9538	1.01087	0.389254
2730000	26	7.78144	50.3892	16.9538	1.01087	0.389254
2740000	20	-3.25883	13.0717	1.15358	2.03545	0.38239
2740000	21	-0.102153	29.0227	0.337788	2.48056	0.371922
2740000	22	-3.25884	13.0717	1.15359	2.03546	0.382391
2740000	25	8.29158	51.4072	16.7763	1.08348	0.426166
2740000	26	8.29158	51.4072	16.7763	1.08348	0.426166
2750000	20	-3.3015	13.1409	1.10525	2.12447	0.38127
2750000	21	-0.103922	29.1569	0.360841	2.35517	0.259769
2750000	22	-3.30151	13.1409	1.10527	2.12447	0.38127
2750000	25	8.72125	52.4617	16.6405	1.16429	0.456143
2750000	26	8.72125	52.4617	16.6405	1.16429	0.456143
2760000	20	-3.3436	13.2209	1.06061	2.21072	0.377504
2760000	21	-0.0992532	29.286	0.376667	2.21416	0.157935
2760000	22	-3.34361	13.2209	1.06062	2.21073	0.377505
2760000	25	9.07441	53.5124	16.5501	1.24923	0.477133
2760000	26	9.07441	53.5124	16.5501	1.24923	0.477133
2770000	20	-3.38191	13.3048	1.01465	2.29065	0.369688
2770000	21	-0.0835229	29.3916	0.369376	2.09314	0.0801503
2770000	22	-3.38192	13.3048	1.01466	2.29065	0.369689
2770000	25	9.31173	54.5078	16.4861	1.33997	0.492964
2770000	26	9.31173	54.5078	16.4861	1.33997	0.492964
2780000	20	-3.40748	13.388	0.961539	2.35759	0.355493
2780000	21	-0.06386	29.5339	0.404526	1.90399	-0.0141344
2780000	22	-3.40749	13.388	0.961556	2.3576	0.355495
2780000	25	9.53791	55.5528	16.4861	1.42378	0.492964
2780000	26	9.53791	55.5528	16.4861	1.42378	0.492964
2790000	20	-3.43368	13.4646	0.899885	2.42148	0.339211
2790000	21	-0.0421302	29.6303	0.395591	1.78779	-0.0644907
2790000	22	-3.43369	13.4646	0.899903	2.42149	0.339214
2790000	25	9.64239	56.5028	16.4861	1.51251	0.492964
2790000	26	9.64239	56.5028	16.4861	1.51251	0.492964
2790000	-1	3.23088	47.8583	19.4137	0.0743647	0.000652409
2790000	-1	3.23088	47.8583	19.4137	0.0743647	0.000652409
2800000	20	-3.52334	13.5678	0.864907	2.49983	0.325328
2800000	21	-0.0340781	29.7653	0.43531	1.66851	-0.106368
2800000	22	-3.52335	13.5678	0.864926	2.49985	0.325332
2800000	25	9.63601	57.4206	16.4861	1.60617	0.492964
2800000	26	9.63601	57.4206	16.4861	1.60617	0.492964
2800000	-1	3.32197	47.862	19.4018	0.070464	0.000583781
2800000	-1	3.32197	47.862	19.4018	0.070464	0.000583781
2810000	20	-3.607	13.6534	0.829891	2.57518	0.310604
2810000	21	-0.0180946	29.8975	0.465066	1.56103	-0.135964
2810000	22	-3.60702	13.6534	0.829912	2.5752	0.31061
2810000	25	9.51036	58.4122	16.4861	1.70477	0.492964
