time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449350000	18.2126	17.7096	4.74428	2.35437	0.661391	radar	1.29378	18.2749	17.4877	18.2814	17.8617	4.80057	2.25709
1477010449400000	18.1002	17.9244	4.7559	2.34767	0.612011	lidar	1.73639	18.2094	18.0461	18.1268	18.0453	4.80101	2.28457
1477010449450000	17.9498	18.0581	4.70272	2.38025	0.616682	radar	6.07305	18.3021	17.498	17.9671	18.2246	4.80158	2.31204
1477010449500000	17.8117	18.2255	4.68227	2.39416	0.596824	lidar	0.497237	17.9017	18.2183	17.8026	18.3994	4.80227	2.33948
1477010449550000	17.7276	18.3887	4.60852	2.38477	0.551547	radar	16.7603	18.8558	18.1364	17.6334	18.5697	4.80309	2.3669
1477010449600000	17.5218	18.5726	4.67051	2.41736	0.555151	lidar	1.9925	17.3845	18.7039	17.4595	18.7353	4.80403	2.3943
1477010449650000	17.3666	18.6874	4.61131	2.44957	0.562754	radar	7.44413	17.7945	18.0801	17.2811	18.8962	4.80509	2.42166
1477010449700000	17.188	18.8448	4.62354	2.47278	0.556266	lidar	0.106569	17.1762	18.8863	17.0983	19.0521	4.80628	2.44898
1477010449750000	17.0162	19.0371	4.65988	2.47711	0.52591	radar	6.72876	16.9398	19.7311	16.9113	19.203	4.80759	2.47627
1477010449800000	16.7571	19.1289	4.68873	2.54917	0.580885	lidar	2.53665	16.5734	19.052	16.7202	19.3488	4.80903	2.5035
1477010449850000	16.5537	19.3196	4.75101	2.55627	0.551476	radar	12.4321	16.1674	20.2201	16.5251	19.4894	4.81058	2.53069
1477010449900000	16.3351	19.4853	4.80385	2.5756	0.539478	lidar	1.53276	16.2338	19.617	16.3262	19.6246	4.81225	2.55783
1477010449950000	16.1261	19.5133	4.72461	2.64386	0.593003	radar	20.729	16.4366	18.2742	16.1237	19.7545	4.81405	2.5849
1477010450000000	15.9346	19.6914	4.76081	2.63952	0.549957	lidar	1.96455	15.9243	19.8703	15.9176	19.8789	4.81595	2.61191
1477010450050000	15.7483	19.7655	4.70334	2.6755	0.562357	radar	7.373	16.2328	19.2166	15.7082	19.9978	4.81798	2.63886
1477010450100000	15.5319	19.9507	4.77101	2.66957	0.518076	lidar	3.72237	15.4332	20.1836	15.4956	20.111	4.82012	2.66574
1477010450150000	15.2824	20.1421	4.87289	2.66812	0.480538	radar	28.0059	14.3677	21.3406	15.2799	20.2185	4.82237	2.69253
1477010450200000	15.1077	20.3129	4.86599	2.65266	0.432217	lidar	1.62298	15.2016	20.4385	15.0613	20.3203	4.82474	2.71925
1477010450250000	14.8752	20.3821	4.85474	2.69767	0.461306	radar	3.8078	14.7476	19.9571	14.84	20.4162	4.82722	2.74589
1477010450300000	14.6652	20.521	4.86759	2.70144	0.43719	lidar	0.48901	14.6665	20.6088	14.6161	20.5063	4.8298	2.77244
1477010450350000	14.4146	20.6426	4.9144	2.72157	0.433608	radar	6.90195	13.841	21.0031	14.3897	20.5904	4.83249	2.79889
1477010450400000	14.15	20.6882	4.93004	2.7764	0.474054	lidar	1.2284	14.0521	20.5924	14.1611	20.6686	4.83529	2.82525
1477010450450000	13.9163	20.7784	4.93427	2.79842	0.471689	radar	1.83086	13.8232	20.859	13.9304	20.7408	4.8382	2.85151
1477010450500000	13.6288	20.8065	4.97235	2.85811	0.515203	lidar	2.00893	13.4687	20.7253	13.6977	20.807	4.8412	2.87767
1477010450550000	13.4102	20.8397	4.9262	2.89495	0.530207	radar	6.00802	13.8263	20.4261	13.4632	20.8671	4.84431	2.90371
1477010450600000	13.1541	20.8727	4.9358	2.93599	0.547872	lidar	0.262209	13.1072	20.8294	13.2271	20.9211	4.84751	2.92964
1477010450650000	12.9379	20.9456	4.91226	2.94628	0.527212	radar	3.68522	13.2669	21.1579	12.9895	20.969	4.85081	2.95546
1477010450700000	12.7364	21.0191	4.87325	2.95212	0.50318	lidar	1.192	12.8729	21.0592	12.7506	21.0108	4.85421	2.98115
1477010450750000	12.4508	21.105	4.94771	2.96322	0.482777	radar	15.9421	11.5171	21.6724	12.5106	21.0465	4.85769	3.00672
1477010450800000	12.2058	21.1344	4.94563	2.99316	0.490059	lidar	0.0389837	12.2062	21.11	12.2695	21.0761	4.86127	3.03216
1477010450850000	11.9859	21.1664	4.90978	3.01514	0.487913	radar	3.98416	12.3859	21.1066	12.0276	21.0996	4.86493	3.05747
1477010450900000	11.72	21.0868	4.90789	3.09532	0.557333	lidar	3.34792	11.6814	20.8651	11.785	21.117	4.86868	3.08264
1477010450950000	11.4762	21.0556	4.8939	3.14253	0.581779	radar	3.94616	11.5265	20.6748	11.5418	21.1283	4.87252	3.10766
1477010451000000	11.2583	21.0602	4.86038	3.16519	0.575055	lidar	0.616129	11.363	21.0689	11.2982	21.1335	4.87643	3.13255
1477010451050000	10.9905	21.0019	4.88404	3.2205	0.60705	radar	6.90524	10.5558	20.5567	11.0544	21.1327	4.88042	3.15728
1477010451100000	10.7749	20.9639	4.84574	3.25717	0.616492	lidar	0.815881	10.8903	20.927	10.8105	21.1259	4.88449	3.18186
1477010451150000	10.4736	20.9722	4.92923	3.2693	0.589274	radar	20.1604	9.30535	21.3896	10.5666	21.1131	4.88862	3.20629
1477010451200000	10.2231	21.0255	4.94	3.25367	0.532663	lidar	2.27761	10.189	21.209	10.3229	21.0943	4.89283	3.23055
1477010451250000	9.98048	21.023	4.93374	3.26563	0.514278	radar	3.22751	9.97958	21.2932	10.0795	21.0697	4.89711	3.25465
1477010451300000	9.78681	20.9855	4.86554	3.29385	0.520002	lidar	2.42171	9.99634	20.9797	9.83658	21.0391	4.90145	3.27858
1477010451350000	9.54015	20.9617	4.87113	3.31131	0.508885	radar	2.64817	9.38223	21.111	9.59422	21.0028	4.90586	3.30233
1477010451400000	9.34766	20.902	4.8097	3.3462	0.522774	lidar	2.07456	9.53921	20.8762	9.35258	20.9607	4.91032	3.32592
1477010451450000	9.14225	20.86	4.76595	3.36851	0.519246	radar	5.32986	9.63392	20.9724	9.11177	20.9128	4.91484	3.34932
1477010451500000	8.87034	20.8125	4.81954	3.38757	0.508888	lidar	1.55142	8.70331	20.8221	8.87192	20.8594	4.91942	3.37254
1477010451550000	8.7082	20.6753	4.73795	3.45631	0.565282	radar	23.1954	9.84634	20.009	8.63315	20.8003	4.92404	3.39557
1477010451600000	8.43523	20.5675	4.81188	3.49637	0.577374	lidar	2.89853	8.22277	20.4839	8.39557	20.7357	4.92872	3.41841
1477010451650000	8.21773	20.4822	4.79985	3.5251	0.577369	radar	2.64394	8.29647	20.4978	8.1593	20.6657	4.93344	3.44106
1477010451700000	7.97298	20.4117	4.82386	3.53994	0.559084	lidar	0.531999	7.88599	20.45	7.92445	20.5903	4.9382	3.46351
1477010451750000	7.78065	20.3415	4.77372	3.55839	0.548861	radar	7.00991	8.29081	20.6565	7.69111	20.5096	4.943	3.48576
1477010451800000	7.48069	20.3025	4.8572	3.54375	0.493592	lidar	5.72151	7.18029	20.392	7.45939	20.4236	4.94783	3.5078
1477010451850000	7.25242	20.1998	4.86463	3.5698	0.494779	radar	3.05364	7.09214	20.1196	7.22939	20.3326	4.9527	3.52963
1477010451900000	6.98419	20.133	4.90977	3.56858	0.461069	lidar	1.8416	6.81542	20.1859	7.00119	20.2364	4.9576	3.55126
1477010451950000	6.77016	20.0392	4.89164	3.58789	0.45675	radar	3.06729	6.89359	20.1536	6.7749	20.1352	4.96252	3.57267
1477010452000000	6.51341	19.9641	4.92251	3.58813	0.427811	lidar	1.07633	6.38914	20.0136	6.55059	20.0292	4.96747	3.59385
1477010452050000	6.3121	19.8831	4.88059	3.59989	0.416778	radar	5.69541	6.67637	20.2142	6.32834	19.9183	4.97244	3.61482
1477010452100000	6.04222	19.8019	4.93038	3.59689	0.385937	lidar	1.95321	5.86119	19.8306	6.10823	19.8027	4.97743	3.63556
1477010452150000	5.79522	19.684	4.96506	3.61421	0.382454	radar	6.56934	5.28178	19.5036	5.89034	19.6824	4.98243	3.65608
1477010452200000	5.60026	19.5654	4.93687	3.64009	0.391466	lidar	0.466913	5.69089	19.5755	5.67472	19.5577	4.98744	3.67636
1477010452250000	5.42842	19.3966	4.90951	3.69143	0.431464	radar	8.42436	5.9506	18.9859	5.46145	19.4284	4.99246	3.6964
1477010452300000	5.20071	19.3218	4.89971	3.68321	0.394751	lidar	0.977035	5.17021	19.4397	5.25059	19.2949	4.99749	3.71621
1477010452350000	5.04644	19.1891	4.83437	3.71731	0.414003	radar	11.048	5.87397	19.301	5.04219	19.157	5.00251	3.73578
1477010452400000	4.85972	19.031	4.8335	3.7524	0.43187	lidar	0.225331	4.89149	18.982	4.8363	19.015	5.00754	3.7551
1477010452450000	4.62055	18.9168	4.86309	3.75153	0.402935	radar	8.11162	3.98679	19.0452	4.63297	18.8689	5.01256	3.77418
1477010452500000	4.43004	18.7903	4.84473	3.76708	0.397697	lidar	0.190506	4.4685	18.834	4.43224	18.7188	5.01757	3.793
1477010452550000	4.26976	18.6242	4.81828	3.80583	0.421701	radar	5.34451	4.69245	18.4634	4.23416	18.5648	5.02257	3.81158
1477010452600000	4.12339	18.4654	4.77761	3.84192	0.441383	lidar	1.12348	4.26269	18.481	4.03876	18.4071	5.02756	3.82989
